army	relatedto	government
army	relatedto	ground
army	relatedto	like
army	relatedto	people
army	relatedto	war
article	atlocation	newspaper
article	madeof	information
article	relatedto	class
article	relatedto	magazine
article	relatedto	magazines
article	relatedto	newspaper
article	relatedto	person
article	relatedto	space
asia	isa	continent
asia	isa	continent
asia	isa	place
asia	isa	river
asia	relatedto	atlas
asia	relatedto	continent
asia	relatedto	europe
atlas	atlocation	country
atlas	relatedto	moon
attic	atlocation	home
attic	partof	house
attic	relatedto	building
attic	relatedto	house
attic	relatedto	roof
attic	relatedto	space
attic	relatedto	storage
attic	usedfor	boxes
attic	usedfor	storage
audience	atlocation	arena
audience	atlocation	auditorium
audience	atlocation	church
audience	atlocation	movie
audience	atlocation	movies
audience	atlocation	school
audience	atlocation	show
audience	atlocation	stadium
audience	atlocation	studio
audience	relatedto	book
audience	relatedto	concert
audience	relatedto	conference
audience	relatedto	court
audience	relatedto	crowd
audience	relatedto	human
audience	relatedto	listening
audience	relatedto	people
audience	relatedto	play
audience	relatedto	program
audience	relatedto	radio
audience	relatedto	show
audience	relatedto	stage
audience	relatedto	state
audience	relatedto	studio
audience	relatedto	television
audience	relatedto	theater
auditorium	atlocation	building
auditorium	atlocation	city
auditorium	atlocation	crowd
auditorium	atlocation	lights
auditorium	atlocation	theater
auditorium	atlocation	university
auditorium	relatedto	arena
auditorium	relatedto	audience
auditorium	relatedto	audience
auditorium	relatedto	building
auditorium	relatedto	chairs
auditorium	relatedto	classroom
auditorium	relatedto	college
auditorium	relatedto	concert
auditorium	relatedto	gymnasium
auditorium	relatedto	meeting
auditorium	relatedto	meeting
auditorium	relatedto	movie
auditorium	relatedto	place
auditorium	relatedto	play
auditorium	relatedto	room
auditorium	relatedto	room
auditorium	relatedto	school
auditorium	relatedto	seats
auditorium	relatedto	stadium
auditorium	relatedto	stage
auditorium	relatedto	theater
auditorium	usedfor	performing
australia	isa	building
australia	isa	country
australia	isa	country
australia	isa	highway
australia	isa	island
australia	relatedto	austria
australia	relatedto	energy
austria	isa	country
austria	isa	country
austria	isa	river
automobile	atlocation	driveway
automobile	atlocation	france
automobile	atlocation	freeway
automobile	atlocation	garage
automobile	atlocation	shop
automobile	atlocation	street
automobile	atlocation	switzerland
automobile	hascontext	canada
automobile	isa	company
automobile	relatedto	car
automobile	relatedto	car
automobile	relatedto	cars
automobile	relatedto	like
backyard	atlocation	country
backyard	atlocation	house
backyard	atlocation	neighborhood
backyard	atlocation	subdivision
backyard	relatedto	neighborhood
backyard	relatedto	yard
backyard	usedfor	garden
backyard	usedfor	playing
bad	antonym	good
bad	antonym	good
bad	relatedto	action
bad	relatedto	good
bad	relatedto	wrong
bag	atlocation	bed
bag	atlocation	desk
bag	atlocation	drawer
bag	atlocation	market
bag	atlocation	shelf
bag	atlocation	supermarket
bag	atlocation	trash
bag	hascontext	australia
bag	relatedto	backpack
bag	relatedto	children
bag	relatedto	container
bag	relatedto	container
bag	relatedto	dog
bag	relatedto	game
bag	relatedto	groceries
bag	relatedto	inside
bag	relatedto	kill
bag	relatedto	laugh
bag	relatedto	paper
bag	relatedto	paper
bag	relatedto	purse
bag	relatedto	purse
bag	relatedto	school
bag	relatedto	street
bag	relatedto	stuff
ball	atlocation	beach
ball	atlocation	bearing
ball	atlocation	closet
ball	atlocation	gymnasium
ball	atlocation	hole
ball	atlocation	playground
ball	atlocation	street
ball	isa	dance
ball	isa	party
ball	relatedto	air
ball	relatedto	beach
ball	relatedto	children
ball	relatedto	dance
ball	relatedto	foot
ball	relatedto	game
ball	relatedto	good
ball	relatedto	play
ball	relatedto	playground
ball	relatedto	playing
ball	relatedto	wood
ball	relatedto	woods
ball	usedfor	bearing
ball	usedfor	game
ball	usedfor	play
balloon	atlocation	air
balloon	atlocation	circus
balloon	atlocation	sky
balloon	relatedto	air
balloon	relatedto	air
balloon	relatedto	ball
balloon	relatedto	body
balloon	relatedto	cup
balloon	relatedto	entertaining
balloon	relatedto	glass
balloon	relatedto	inside
balloon	usedfor	fly
balloon	usedfor	party
ballpark	relatedto	ball
ballpark	relatedto	field
ballpark	relatedto	park
ballpark	relatedto	stadium
band	antonym	act
band	antonym	orchestra
band	antonym	orchestra
band	atlocation	show
band	atlocation	theater
band	atlocation	wedding
band	relatedto	club
band	relatedto	concert
band	relatedto	dancing
band	relatedto	entertainment
band	relatedto	ground
band	relatedto	music
band	relatedto	musical
band	relatedto	musician
band	relatedto	orchestra
band	relatedto	parade
band	relatedto	people
band	relatedto	play
band	relatedto	playing
band	relatedto	rock
band	relatedto	school
band	relatedto	singing
band	relatedto	stadium
band	relatedto	stage
band	relatedto	wedding
bank	antonym	casino
bank	atlocation	city
bank	atlocation	park
bank	atlocation	town
bank	isa	company
bank	relatedto	building
bank	relatedto	city
bank	relatedto	company
bank	relatedto	container
bank	relatedto	england
bank	relatedto	getting
bank	relatedto	government
bank	relatedto	home
bank	relatedto	house
bank	relatedto	inside
bank	relatedto	locker
bank	relatedto	money
bank	relatedto	office
bank	relatedto	people
bank	relatedto	place
bank	relatedto	river
bank	relatedto	safe
bank	relatedto	security
bank	relatedto	shop
bank	relatedto	storage
bank	relatedto	store
bank	relatedto	town
bank	relatedto	vault
bank	relatedto	working
bank	relatedto	workplace
bar	antonym	church
bar	atlocation	airport
bar	atlocation	city
bar	atlocation	club
bar	atlocation	jail
bar	atlocation	michigan
bar	atlocation	restaurant
